school comp. 

Handle              Bytes     CRC 64
cone                3806      11663334063719836398
cylinder            7831      17021249258462496084
maskboy             1592176   14510627122865315390
maskboy_t           4815179   7748087443768112594
maskboy_n           2601465   1940870647907176048
maskboy_s           2087187   5693817177843960211
VuKhi_t             1749416   17190283766351376204
VuKhi_n             787117    6414427249858818013
VuKhi_s             830773    1995439271639877523
sandbag             41340     15738518070386747724
sandbag_ao          73412     2273414783908655116
sandbag_d           913555    12017916545874391176
sandbag_n           183997    5754400466488489384
sandbag_s           130047    17645088555109529948
traffic_cone        47328     3946898727466763789
traffic_cone_t      5075125   12716256063258256967
song                3485824   18142169018133071478

laptop

Handle              Bytes     CRC 64
cone                3806      11663334063719836398
cylinder            7831      17021249258462496084
maskboy             1592176   14510627122865315390
maskboy_t           4815179   7748087443768112594
maskboy_n           2601465   1940870647907176048
maskboy_s           2087187   5693817177843960211
VuKhi_t             1749416   17190283766351376204
VuKhi_n             787117    6414427249858818013
VuKhi_s             830773    1995439271639877523
sandbag             41340     15738518070386747724
sandbag_ao          73412     2273414783908655116
sandbag_d           913555    12017916545874391176
sandbag_n           183997    5754400466488489384
sandbag_s           130047    17645088555109529948
traffic_cone        47328     3946898727466763789
traffic_cone_t      5075125   12716256063258256967
song                3485824   18142169018133071478
